Start time : 02:44:26
16x16 12 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 12 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 13 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
16x16 13 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 14 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
16x16 14 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 15 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
16x16 15 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 16 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 16 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 17 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 17 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
16x16 18 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 18 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 19 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 19 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 20 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 20 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
16x16 21 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 21 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 22 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 22 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 23 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
16x16 23 b    { rank: 1, agentID: 1, name: '../input/other/imit3/main.py' }, 
16x16 24 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
16x16 24 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
16x16 25 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
16x16 25 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 1 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 1 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 2 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 2 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 3 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 3 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 4 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 4 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 5 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 5 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 6 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
24x24 6 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 7 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
24x24 7 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 8 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 8 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 9 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 9 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 10 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 10 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 11 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 11 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 12 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
24x24 12 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 13 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 13 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
24x24 14 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
24x24 14 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
