start 11/10/2021 15:22:53.86 
1 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
21 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
21 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
22 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
22 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
23 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
23 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
24 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
24 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
25 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
25 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
26 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
26 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
27 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
27 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
28 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
28 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
29 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
29 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
30 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
30 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
31 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
31 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
32 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
32 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
33 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
33 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
34 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
34 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
35 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
35 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
36 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
36 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
37 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
37 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
38 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
38 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
39 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
39 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
40 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
40 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
41 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
41 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
42 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
42 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
43 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
43 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
44 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
44 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
45 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
45 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
46 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
46 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
47 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
47 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
48 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
48 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
49 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
49 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/imitate/main.py' },
50 a    { rank: 1, agentID: 1, name: 'rule413/main.py' },
50 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
51 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
51 b    { rank: 1, agentID: 0, name: 'rule413/main.py' },
52 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/imitate/main.py' },
52 b
