start 02/10/2021 23:19:12.47 
26 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/minh/main.py' },
26 b    { rank: 1, agentID: 0, name: 'rule26/main.py' },
27 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/minh/main.py' },
27 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/minh/main.py' },
28 a    { rank: 1, agentID: 1, name: 'rule26/main.py' },
28 b    { rank: 1, agentID: 0, name: 'rule26/main.py' },
29 a    { rank: 1, agentID: 1, name: 'rule26/main.py' },
29 b    { rank: 1, agentID: 0, name: 'rule26/main.py' },
30 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/minh/main.py' },
30 b    { rank: 1, agentID: 0, name: 'rule26/main.py' },
31 a    { rank: 1, agentID: 1, name: 'rule26/main.py' },
31 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/minh/main.py' },
32 a    { rank: 1, agentID: 1, name: 'rule26/main.py' },
32 b    { rank: 1, agentID: 0, name: 'rule26/main.py' },
33 a    { rank: 1, agentID: 1, name: 'rule26/main.py' },
33 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/minh/main.py' },
34 a    { rank: 1, agentID: 1, name: 'rule26/main.py' },
34 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/minh/main.py' },
35 a    { rank: 1, agentID: 1, name: 'rule26/main.py' },
35 b    { rank: 1, agentID: 0, name: 'rule26/main.py' },
36 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/minh/main.py' },
36 b    { rank: 1, agentID: 0, name: 'rule26/main.py' },
37 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/minh/main.py' },
37 b38 a38 b39 a    { rank: 1, agentID: 0, name: 'C:/git/luxai/minh/main.py' },
39 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/minh/main.py' },
40 a    { rank: 1, agentID: 1, name: 'rule26/main.py' },
40 b    { rank: 1, agentID: 0, name: 'rule26/main.py' },
41 a    { rank: 1, agentID: 1, name: 'rule26/main.py' },
41 b    { rank: 1, agentID: 1, name: 'C:/git/luxai/minh/main.py' },
42 a    { rank: 1, agentID: 1, name: 'rule26/main.py' },
42 b    { rank: 1, agentID: 0, name: 'rule26/main.py' },
43 a    { rank: 1, agentID: 1, name: 'rule26/main.py' },
