start 22/10/2021 17:49:40.35 
43 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
44 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
44 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
45 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
45 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
46 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
46 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
47 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
47 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
48 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
48 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
49 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
49 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
50 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
50 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
51 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
51 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
52 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
52 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
53 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
53 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
54 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
54 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
55 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
55 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
56 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
56 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
57 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
57 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
58 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
58 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
59 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
59 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
60 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
60 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
61 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
